x,y,z,excitons,e_field,nestid,ed,t,eventid,cluster_id,electrons,photons
-3.619898967097845,-17.743725151668194,-102.05792041381885,0,23,7,0,0,0,1,1452.0489508774904,413.96918221830595
24.052734263557486,-28.36780846438981,-138.0269311490804,0,23,7,0,0,1,2,1032.6407327079983,281.6466213817327
32.49515097324429,-12.445451385836941,-100.16352513661207,0,23,7,0,0,2,3,1147.0388190994117,203.55089544890083
-8.812343005371302,2.942406402137743,-128.35202049713877,0,23,7,0,0,3,4,1201.3786826172986,251.3963195476848
-27.376602277459906,-2.5881785923538048,-107.54614234395173,0,23,7,0,0,4,5,967.7867328870017,126.84073779788949
12.997778234627349,-18.38157365443333,-95.40125933042285,0,23,7,0,0,5,6,1443.546993943921,226.23753637139518
-11.1811366394704,4.0141470017762595,-63.69756639208224,0,23,7,0,0,6,7,1244.2958252257924,320.5512436019871
12.38407665946751,-8.723110735822068,-106.67757882429052,0,23,7,0,0,7,8,900.6946450503347,138.32588686860777
-21.8343532369194,0.20337827229132896,-24.715037900839032,0,23,7,0,0,8,9,1466.8001335742572,354.22549089182587
-4.4015938518380775,6.197008234472601,-36.151513910048386,0,23,7,0,0,9,10,904.5458321592228,154.64399007175223
-8.055580798917031,-37.30071234035555,-35.80598842862187,0,23,7,0,0,10,11,1394.7782972972338,392.6547844805438
32.00458921456653,16.408825666270914,-118.87418772757354,0,23,7,0,0,11,12,1157.3667454249944,177.1299366924392
-13.548952437891097,27.67814976393561,-37.49390951228433,0,23,7,0,0,12,13,1494.9995368320244,190.35082199574038
19.102639338947405,-15.747289160611915,-23.492277319342968,0,23,7,0,0,13,14,1081.7986370761016,152.9226381431049
6.297491033686753,-0.5313912329166333,-107.03217946874445,0,23,7,0,0,14,15,1284.6274588845893,377.18774625674655
-20.153001528669616,-13.074255690098953,-122.618312541214,0,23,7,0,0,15,16,1442.6300982803934,275.0126672549477
24.351608617848477,-25.56411743779075,-139.8722416344117,0,23,7,0,0,16,17,1055.1840367566115,244.61059869784825
-29.38871688060874,-13.942569627830832,-12.259814883716398,0,23,7,0,0,17,18,910.3792306729077,209.08407906536834
-11.01838449288404,4.3934604956162735,-78.63667103756191,0,23,7,0,0,18,19,1293.6963093170093,273.7202943108604
5.402575661548289,-6.965078369680822,-113.80077655192633,0,23,7,0,0,19,20,899.2339463347564,160.19446398337726
-8.17878177471509,-3.4600275434093093,-105.9644069951245,0,23,7,0,0,20,21,1249.0818799170477,211.15003533295078
-9.54853263607443,-18.31133377731533,-1.8941679291259028,0,23,7,0,0,21,22,1100.090177431975,173.65774903316645
-34.73450225460136,0.5916336205679459,-2.1340886837454858,0,23,7,0,0,22,23,1199.2320741284482,297.38862634258425
-34.87486000630669,7.088999364314992,-8.597774903905078,0,23,7,0,0,23,24,1051.3582451363009,263.07084848010004
2.1760692599767837,-38.94635188550341,-44.81228721315769,0,23,7,0,0,24,25,1306.1694084003636,315.26100084822485
3.192053867185072,32.48952540508622,-78.05473150383806,0,23,7,0,0,25,26,1428.4666724475182,242.48933237693677
-10.249402090576762,-5.417605304224533,-130.9285780597577,0,23,7,0,0,26,27,987.7479902236696,150.21011462687395
-24.27306752611611,4.514423577481168,-129.4556223354705,0,23,7,0,0,27,28,893.8573522039044,189.04238034736667
-25.753736889436976,22.465749175084603,-8.053794176140991,0,23,7,0,0,28,29,1481.7607813323764,295.7997617965887
-4.161334174275965,-29.814221483910984,-88.76149936138573,0,23,7,0,0,29,30,1293.979845385965,363.3517314748631
-23.74459373593664,-3.1640696935723773,-41.927692986113705,0,23,7,0,0,30,31,1417.8186355594148,376.2678461288837
-26.39836999758257,-5.629646209754265,-71.25247486349349,0,23,7,0,0,31,32,1493.234894037803,245.51308743910064
-15.743046176886025,-21.56083008940422,-128.3586924920536,0,23,7,0,0,32,33,918.5997527781041,183.49690472871492
-13.091186744909875,-27.70947586430036,-14.234368773946011,0,23,7,0,0,33,34,1101.8913074848329,303.9382951509483
10.890544670250502,-13.58194144838722,-25.353365165657934,0,23,7,0,0,34,35,978.1067329822208,223.57400390891928
29.101721668383313,12.700947859120165,-131.57469959860208,0,23,7,0,0,35,36,809.9240918121587,106.7358401658506
-0.8098028576324481,-21.902099399106692,-66.66686989651166,0,23,7,0,0,36,37,1379.194981782206,283.5844787462529
-15.886034117906043,28.214248613441164,-68.21236397322477,0,23,7,0,0,37,38,1308.699631646591,214.10583814067974
2.496781750208186,37.22339898515439,-119.33428827738099,0,23,7,0,0,38,39,841.8928856208308,236.41790710204694
-9.175405198649065,-35.82944536055867,-6.3869318384854905,0,23,7,0,0,39,40,1065.5219916795736,187.13977044996528
34.31860747231508,-14.764723561084354,-52.244132719533475,0,23,7,0,0,40,41,1247.0718163720544,330.8888263238926
-7.251875142073712,-32.83855128493246,-80.09434592318178,0,23,7,0,0,41,42,833.3446142816217,145.1813233539842
-39.421177240044074,6.122668666621993,-148.3649793470915,0,23,7,0,0,42,43,992.8870949812457,126.05720464170483
4.086756594407365,25.54418328917993,-84.39895929430305,0,23,7,0,0,43,44,888.209252775761,209.0359197863208
6.535301696669075,-22.156200422106327,-127.52980057798467,0,23,7,0,0,44,45,1012.7193013671285,153.91513349942068
-16.460286517246402,33.927709992623264,-137.46026072296652,0,23,7,0,0,45,46,935.1163056814845,136.18818565735356
-4.280440163149833,-0.9336568574600951,-12.654051540486527,0,23,7,0,0,46,47,1034.2693663610362,207.086787800584
11.70970892900699,-24.785187425501075,-97.86090381192105,0,23,7,0,0,47,48,1087.238462895099,147.6205799260023
31.87465694977401,-9.513860928213541,-65.84874161866202,0,23,7,0,0,48,49,990.3134130145011,129.5220456229481
28.83791972308877,-26.251965215622423,-48.156747408155404,0,23,7,0,0,49,50,1211.2125000760773,233.09526753969092
17.28719002218247,-22.54978250604289,-23.923357851387436,0,23,7,0,0,50,51,1068.6907061715158,175.27494732047268
12.20570023599093,-22.46855009514422,-80.04275463797981,0,23,7,0,0,51,52,882.0389697326793,264.4995956910422
-9.411621266045254,30.779660563912635,-147.01155595867314,0,23,7,0,0,52,53,1364.1374919447255,186.61214010756686
-29.59555068588443,-16.23372474830344,-12.792413699949881,0,23,7,0,0,53,54,1371.9814779822009,176.10720376861192
-23.127061176122655,-3.786470542103301,-112.85080625243464,0,23,7,0,0,54,55,1400.2593319670414,345.93370723123166
-36.00662124572189,8.805426401738988,-83.26966006531991,0,23,7,0,0,55,56,1094.9833855734623,141.63239058224354
18.540546903558887,-33.700407967850154,-57.538034351912344,0,23,7,0,0,56,57,1418.7326706373408,329.5147498941558
35.93614313017847,-15.61515158497476,-112.4281196590027,0,23,7,0,0,57,58,862.6741965706012,157.6987214162983
30.38768847807085,-14.714522836819496,-19.13500772344437,0,23,7,0,0,58,59,919.532450702078,243.9627479391882
12.557451489674808,2.6787213812241495,-112.49643270926988,0,23,7,0,0,59,60,1233.4931802949952,198.9421997270196
19.835631689894125,-11.76192683656935,-100.26420412245328,0,23,7,0,0,60,61,1010.8849513789069,160.6391056457636
10.391636940105546,-13.20668267783011,-105.97635533761125,0,23,7,0,0,61,62,1333.6383501375087,310.0418838084082
-16.882959743385527,15.337755977532229,-112.46734457933961,0,23,7,0,0,62,63,991.0839603044849,212.97214443128087
-14.483148301834698,16.355859741417202,-65.41569880100484,0,23,7,0,0,63,64,1320.0264448088942,312.37317472658316
-21.10469540280495,-8.187340967482996,-13.868476427764303,0,23,7,0,0,64,65,858.1228284115,122.10586448472354
38.15283814227722,-11.958883818202468,-110.35719244417972,0,23,7,0,0,65,66,986.04876244895,161.91657101167425
28.105286061619115,8.683989778131842,-15.919449226243122,0,23,7,0,0,66,67,1319.8734426849453,283.15816568008444
19.339824164525112,-10.056359816031447,-40.23214669909925,0,23,7,0,0,67,68,1296.1513263805373,214.47015097400327
-31.062360316350226,8.32756832609824,-19.34618866884706,0,23,7,0,0,68,69,873.2113742074444,215.9099820302262
13.409699759016151,18.354028725129755,-112.13352908343181,0,23,7,0,0,69,70,1453.706030923552,340.3034257133341
-16.375333920098548,-10.912362578641018,-147.69945130713472,0,23,7,0,0,70,71,1494.0135903004566,284.614222231135
20.878914382177335,-11.771354677447134,-56.41208205565601,0,23,7,0,0,71,72,837.8501490387251,218.4452627630293
18.24786780060465,18.10208796592509,-121.8719791136975,0,23,7,0,0,72,73,989.868495048957,286.3815727194221
-3.6194986077594824,34.453270314709215,-148.4986630589579,0,23,7,0,0,73,74,1397.1583234331536,334.3593828367667
-11.03190801248329,5.8593943816353145,-22.835018957522315,0,23,7,0,0,74,75,1015.8690511351094,179.11757958811515
-9.699690189268983,-34.104828536758,-82.73581112503132,0,23,7,0,0,75,76,907.2304172820934,249.48826158402196
8.472567655279503,22.787130506856666,-33.847864987339,0,23,7,0,0,76,77,1451.443315545349,236.26044372419796
15.243908608394765,-27.801943427663495,-36.68370122095947,0,23,7,0,0,77,78,1105.5391903862358,257.56017938867035
8.175348030606294,11.779882624315176,-59.456980899585,0,23,7,0,0,78,79,1006.2826405019732,220.3363278766691
24.11833313780794,29.68133757943842,-73.12857379559934,0,23,7,0,0,79,80,1272.4833243107266,265.38647310491405
0.6220333848206561,-36.17223200715855,-5.798065656379297,0,23,7,0,0,80,81,1039.3270733346615,226.40252275116296
2.288232280621232,9.527038920071012,-42.81955377066935,0,23,7,0,0,81,82,1297.5302717083118,360.68597402536375
9.852559629485993,12.456237109145562,-117.1704209264373,0,23,7,0,0,82,83,1155.5080610292903,287.1447347709454
33.108285429398485,5.701782851276412,-50.76923406973669,0,23,7,0,0,83,84,948.908650749412,146.53613363724995
26.010326137302954,1.0400480930452207,-146.52590778030273,0,23,7,0,0,84,85,1456.1041817525158,367.5822732489668
-4.363630595572754,2.9899743636338836,-60.11176612779371,0,23,7,0,0,85,86,1422.538415321913,400.9585499469805
33.75112277371621,-3.6288477194734656,-92.52196937071973,0,23,7,0,0,86,87,1166.9014727317976,234.26626357019546
-7.43884491713068,4.82701806952187,-66.4414158968691,0,23,7,0,0,87,88,1417.9920582861578,230.37751857017608
-20.162764865177056,4.721669234008078,-46.08810051279734,0,23,7,0,0,88,89,928.3477062659066,157.01202139081795
5.058739096631248,32.89253541856737,-23.318158143163956,0,23,7,0,0,89,90,846.2687506448993,140.55925237555903
3.3801667121678616,-38.147640126952794,-38.797748409436906,0,23,7,0,0,90,91,994.5698402760045,141.6321322148061
-10.99617473051361,-16.16394803126596,-78.8891768707992,0,23,7,0,0,91,92,1485.3366625711567,315.2919448228431
32.10554635553742,20.257903005664993,-17.586072940926876,0,23,7,0,0,92,93,1204.1412962914676,227.80129803630248
