x,y,z,excitons,e_field,nestid,ed,t,eventid,cluster_id,electrons,photons
-3.619898967097845,-17.743725151668194,-102.05792041381885,0,23,7,0,0,0,1,299.2755335945138,83.77299722081372
24.052734263557486,-28.36780846438981,-138.0269311490804,0,23,7,0,0,1,2,428.32561520104923,71.76683170766913
32.49515097324429,-12.445451385836941,-100.16352513661207,0,23,7,0,0,2,3,368.4609043631804,85.72450552673331
-8.812343005371302,2.942406402137743,-128.35202049713877,0,23,7,0,0,3,4,316.9941828482684,48.682650743872394
-27.376602277459906,-2.5881785923538048,-107.54614234395173,0,23,7,0,0,4,5,175.15752864898263,41.50142792071394
12.997778234627349,-18.38157365443333,-95.40125933042285,0,23,7,0,0,5,6,433.1739486658182,122.4153246963102
-11.1811366394704,4.0141470017762595,-63.69756639208224,0,23,7,0,0,6,7,354.6449629465929,88.11954417227037
12.38407665946751,-8.723110735822068,-106.67757882429052,0,23,7,0,0,7,8,205.63485881559592,32.988549238984604
-21.8343532369194,0.20337827229132896,-24.715037900839032,0,23,7,0,0,8,9,268.6380883138681,56.576624412136724
-4.4015938518380775,6.197008234472601,-36.151513910048386,0,23,7,0,0,9,10,138.69949947351148,32.5883051184909
-8.055580798917031,-37.30071234035555,-35.80598842862187,0,23,7,0,0,10,11,318.30985033368955,73.51790890527118
32.00458921456653,16.408825666270914,-118.87418772757354,0,23,7,0,0,11,12,397.45595898504564,63.38685577217796
-13.548952437891097,27.67814976393561,-37.49390951228433,0,23,7,0,0,12,13,333.4275931236574,90.90973293548689
19.102639338947405,-15.747289160611915,-23.492277319342968,0,23,7,0,0,13,14,281.51522775139875,63.23725606487104
6.297491033686753,-0.5313912329166333,-107.03217946874445,0,23,7,0,0,14,15,385.800783868992,115.47976744744561
-20.153001528669616,-13.074255690098953,-122.618312541214,0,23,7,0,0,15,16,324.63454462124736,76.27402085067062
24.351608617848477,-25.56411743779075,-139.8722416344117,0,23,7,0,0,16,17,275.17557253593174,37.59615746138941
-29.38871688060874,-13.942569627830832,-12.259814883716398,0,23,7,0,0,17,18,285.48284814703345,49.80297880543191
-11.01838449288404,4.3934604956162735,-78.63667103756191,0,23,7,0,0,18,19,310.7045705629826,46.20897059385068
5.402575661548289,-6.965078369680822,-113.80077655192633,0,23,7,0,0,19,20,110.03796386325008,15.937167445327663
-8.17878177471509,-3.4600275434093093,-105.9644069951245,0,23,7,0,0,20,21,221.16325961220423,47.6675445504283
-9.54853263607443,-18.31133377731533,-1.8941679291259028,0,23,7,0,0,21,22,482.64274975718195,113.30030052178708
-34.73450225460136,0.5916336205679459,-2.1340886837454858,0,23,7,0,0,22,23,417.66361234519707,92.97228154317787
-34.87486000630669,7.088999364314992,-8.597774903905078,0,23,7,0,0,23,24,395.5000773396272,71.74030091489401
2.1760692599767837,-38.94635188550341,-44.81228721315769,0,23,7,0,0,24,25,122.23760997981827,25.79702337920848
3.192053867185072,32.48952540508622,-78.05473150383806,0,23,7,0,0,25,26,316.34442891835084,64.88543453813004
-10.249402090576762,-5.417605304224533,-130.9285780597577,0,23,7,0,0,26,27,136.98116855384112,28.122813844027004
-24.27306752611611,4.514423577481168,-129.4556223354705,0,23,7,0,0,27,28,250.01576283571296,40.44905798895974
-25.753736889436976,22.465749175084603,-8.053794176140991,0,23,7,0,0,28,29,417.9789016796781,120.94499140104239
-4.161334174275965,-29.814221483910984,-88.76149936138573,0,23,7,0,0,29,30,371.638570937858,81.5496892995626
-23.74459373593664,-3.1640696935723773,-41.927692986113705,0,23,7,0,0,30,31,245.05579206861503,34.25503514303078
-26.39836999758257,-5.629646209754265,-71.25247486349349,0,23,7,0,0,31,32,162.9908384458648,42.25725057106663
-15.743046176886025,-21.56083008940422,-128.3586924920536,0,23,7,0,0,32,33,489.72884589635794,84.68687979841451
-13.091186744909875,-27.70947586430036,-14.234368773946011,0,23,7,0,0,33,34,375.9260154556006,79.00438295503518
10.890544670250502,-13.58194144838722,-25.353365165657934,0,23,7,0,0,34,35,276.68205479346005,79.1513285113983
29.101721668383313,12.700947859120165,-131.57469959860208,0,23,7,0,0,35,36,435.9666571592978,74.33699956666646
-0.8098028576324481,-21.902099399106692,-66.66686989651166,0,23,7,0,0,36,37,491.32131839903434,133.98770375040664
-15.886034117906043,28.214248613441164,-68.21236397322477,0,23,7,0,0,37,38,333.70253627395255,75.265409892943
2.496781750208186,37.22339898515439,-119.33428827738099,0,23,7,0,0,38,39,333.38865259697366,48.76613794444483
-9.175405198649065,-35.82944536055867,-6.3869318384854905,0,23,7,0,0,39,40,361.19962468447756,52.98130004574096
34.31860747231508,-14.764723561084354,-52.244132719533475,0,23,7,0,0,40,41,143.65165057933805,33.1515075477341
-7.251875142073712,-32.83855128493246,-80.09434592318178,0,23,7,0,0,41,42,212.6778809937273,57.11131543385121
-39.421177240044074,6.122668666621993,-148.3649793470915,0,23,7,0,0,42,43,427.4937166514047,88.73222861447469
4.086756594407365,25.54418328917993,-84.39895929430305,0,23,7,0,0,43,44,119.89964560288242,18.584057000003337
6.535301696669075,-22.156200422106327,-127.52980057798467,0,23,7,0,0,44,45,235.54176101830788,31.54644894484515
-16.460286517246402,33.927709992623264,-137.46026072296652,0,23,7,0,0,45,46,170.8464414380216,28.550054860754695
-4.280440163149833,-0.9336568574600951,-12.654051540486527,0,23,7,0,0,46,47,235.58215120186685,44.62823701949111
11.70970892900699,-24.785187425501075,-97.86090381192105,0,23,7,0,0,47,48,411.14209913156265,63.17393161791063
31.87465694977401,-9.513860928213541,-65.84874161866202,0,23,7,0,0,48,49,467.235963862827,86.71771131951523
28.83791972308877,-26.251965215622423,-48.156747408155404,0,23,7,0,0,49,50,474.4259247808142,120.65696537600698
17.28719002218247,-22.54978250604289,-23.923357851387436,0,23,7,0,0,50,51,193.3118225533802,33.61095881012054
12.20570023599093,-22.46855009514422,-80.04275463797981,0,23,7,0,0,51,52,285.5757968494545,84.96993270529256
-9.411621266045254,30.779660563912635,-147.01155595867314,0,23,7,0,0,52,53,319.26848613962335,45.47614120335506
-29.59555068588443,-16.23372474830344,-12.792413699949881,0,23,7,0,0,53,54,134.41280439126518,24.807822117578404
-23.127061176122655,-3.786470542103301,-112.85080625243464,0,23,7,0,0,54,55,135.86231973177186,36.80275881725302
-36.00662124572189,8.805426401738988,-83.26966006531991,0,23,7,0,0,55,56,378.4396189186535,89.08794644637865
18.540546903558887,-33.700407967850154,-57.538034351912344,0,23,7,0,0,56,57,320.0239855115052,94.58807204357971
35.93614313017847,-15.61515158497476,-112.4281196590027,0,23,7,0,0,57,58,436.37008155409916,74.04864326137299
30.38768847807085,-14.714522836819496,-19.13500772344437,0,23,7,0,0,58,59,415.3292681831375,64.08352568551331
12.557451489674808,2.6787213812241495,-112.49643270926988,0,23,7,0,0,59,60,156.6417963914403,41.73209478190306
19.835631689894125,-11.76192683656935,-100.26420412245328,0,23,7,0,0,60,61,480.8897760099844,102.04295722081207
10.391636940105546,-13.20668267783011,-105.97635533761125,0,23,7,0,0,61,62,289.7547699746338,62.02530940105722
-16.882959743385527,15.337755977532229,-112.46734457933961,0,23,7,0,0,62,63,491.1111913568149,120.68528794981155
-14.483148301834698,16.355859741417202,-65.41569880100484,0,23,7,0,0,63,64,499.0427503847668,148.664517359668
-21.10469540280495,-8.187340967482996,-13.868476427764303,0,23,7,0,0,64,65,440.3770583507155,65.0728414129083
38.15283814227722,-11.958883818202468,-110.35719244417972,0,23,7,0,0,65,66,423.0738502066011,117.47763603061799
28.105286061619115,8.683989778131842,-15.919449226243122,0,23,7,0,0,66,67,242.7705217585035,57.43399446478717
19.339824164525112,-10.056359816031447,-40.23214669909925,0,23,7,0,0,67,68,187.44537650832362,48.35268685275073
-31.062360316350226,8.32756832609824,-19.34618866884706,0,23,7,0,0,68,69,267.2571548358496,80.01338667147104
13.409699759016151,18.354028725129755,-112.13352908343181,0,23,7,0,0,69,70,181.13661132347727,53.26676442952544
-16.375333920098548,-10.912362578641018,-147.69945130713472,0,23,7,0,0,70,71,109.8005935113525,24.64075582141441
20.878914382177335,-11.771354677447134,-56.41208205565601,0,23,7,0,0,71,72,297.22222819578076,83.40581902771808
18.24786780060465,18.10208796592509,-121.8719791136975,0,23,7,0,0,72,73,247.91600179572941,66.32185493526245
-3.6194986077594824,34.453270314709215,-148.4986630589579,0,23,7,0,0,73,74,355.8710674382446,45.52118734217223
-11.03190801248329,5.8593943816353145,-22.835018957522315,0,23,7,0,0,74,75,118.82050678317624,30.1401207067314
-9.699690189268983,-34.104828536758,-82.73581112503132,0,23,7,0,0,75,76,322.77199413361916,60.43165551706797
8.472567655279503,22.787130506856666,-33.847864987339,0,23,7,0,0,76,77,479.4167157839686,103.30132180779883
15.243908608394765,-27.801943427663495,-36.68370122095947,0,23,7,0,0,77,78,313.3935563065812,91.85789521800257
8.175348030606294,11.779882624315176,-59.456980899585,0,23,7,0,0,78,79,396.65506575149556,117.52193948000479
24.11833313780794,29.68133757943842,-73.12857379559934,0,23,7,0,0,79,80,278.0983469430451,46.18859118158044
0.6220333848206561,-36.17223200715855,-5.798065656379297,0,23,7,0,0,80,81,188.90712244518642,44.77325593497811
2.288232280621232,9.527038920071012,-42.81955377066935,0,23,7,0,0,81,82,158.78116789846447,45.99660632438392
9.852559629485993,12.456237109145562,-117.1704209264373,0,23,7,0,0,82,83,402.426683514025,113.29988079306467
33.108285429398485,5.701782851276412,-50.76923406973669,0,23,7,0,0,83,84,116.55058751032988,24.492280657730813
26.010326137302954,1.0400480930452207,-146.52590778030273,0,23,7,0,0,84,85,153.86217391827063,35.31100083353973
-4.363630595572754,2.9899743636338836,-60.11176612779371,0,23,7,0,0,85,86,303.6648911929298,74.24990199150812
33.75112277371621,-3.6288477194734656,-92.52196937071973,0,23,7,0,0,86,87,298.1525195135696,45.30204208756838
-7.43884491713068,4.82701806952187,-66.4414158968691,0,23,7,0,0,87,88,366.8898029280987,79.07463630581856
-20.162764865177056,4.721669234008078,-46.08810051279734,0,23,7,0,0,88,89,403.57586331807795,110.95102960879701
5.058739096631248,32.89253541856737,-23.318158143163956,0,23,7,0,0,89,90,176.89113783588212,29.322481165430077
3.3801667121678616,-38.147640126952794,-38.797748409436906,0,23,7,0,0,90,91,136.3214501704762,19.451034185838086
-10.99617473051361,-16.16394803126596,-78.8891768707992,0,23,7,0,0,91,92,216.93830722686278,33.07220982349825
32.10554635553742,20.257903005664993,-17.586072940926876,0,23,7,0,0,92,93,159.0979883569686,23.51992275052901
27.398218782317016,13.247826754351536,-61.46646139576977,0,23,7,0,0,93,94,123.16294219659176,18.458651121679
-13.836441888637488,-11.848068567276572,-110.9200343852592,0,23,7,0,0,94,95,215.21634681820925,28.200334370021135
